user	instance_id	displayed_text	select_appropriateness:::pos_info	select_appropriateness:::pos_support	select_appropriateness:::pos_competence	select_appropriateness:::pos_empathetic	select_appropriateness:::pos_partnership	select_appropriateness:::pos_respect	select_appropriateness:::pos_communicator	select_appropriateness:::pos_agency	select_appropriateness:::pos_warm	About how long has it been since you last saw a doctor or other health professional about your health?:::Within the last 2 years (1 year but less than 2 years ago)	About how long has it been since you last saw a doctor or other health professional about your health?:::Within the last 5 years (3 years but less than 5 years ago)	About how long has it been since you last saw a doctor or other health professional about your health?:::10 years ago or more	About how long has it been since you last saw a doctor or other health professional about your health?:::Within the past year (anytime less than 12 months ago)	During the past 12 months, not counting times you went to an emergency room, how many times did you go to a doctor, nurse, or other health professional to get care for yourself?:::2 times	During the past 12 months, not counting times you went to an emergency room, how many times did you go to a doctor, nurse, or other health professional to get care for yourself?:::4 times	During the past 12 months, not counting times you went to an emergency room, how many times did you go to a doctor, nurse, or other health professional to get care for yourself?:::3 times	During the past 12 months, not counting times you went to an emergency room, how many times did you go to a doctor, nurse, or other health professional to get care for yourself?:::None	During the past 12 months, not counting times you went to an emergency room, how many times did you go to a doctor, nurse, or other health professional to get care for yourself?:::5-9 times	During the past 12 months, not counting times you went to an emergency room, how many times did you go to a doctor, nurse, or other health professional to get care for yourself?:::1 time	Sometimes doctors care more about what is convenient for them than about their patients' medical needs.:::strongly agree	Sometimes doctors care more about what is convenient for them than about their patients' medical needs.:::disagree	Sometimes doctors care more about what is convenient for them than about their patients' medical needs.:::neutral	Sometimes doctors care more about what is convenient for them than about their patients' medical needs.:::agree	Doctors are extremely thorough and careful.:::strongly agree	Doctors are extremely thorough and careful.:::disagree	Doctors are extremely thorough and careful.:::neutral	Doctors are extremely thorough and careful.:::agree	You completely trust doctors' decisions about which medical treatments are best.:::strongly agree	You completely trust doctors' decisions about which medical treatments are best.:::disagree	You completely trust doctors' decisions about which medical treatments are best.:::neutral	You completely trust doctors' decisions about which medical treatments are best.:::agree	A doctor would never mislead you about anything.:::disagree	A doctor would never mislead you about anything.:::neutral	A doctor would never mislead you about anything.:::agree	All in all, you trust doctors completely.:::disagree	All in all, you trust doctors completely.:::neutral	All in all, you trust doctors completely.:::agree	People of my ethnic group receive the same medical care from doctors and healthcare workers as people from other groups:::disagree	People of my ethnic group receive the same medical care from doctors and healthcare workers as people from other groups:::neutral	People of my ethnic group receive the same medical care from doctors and healthcare workers as people from other groups:::agree	People of my ethnic group receive the same medical care from doctors and healthcare workers as people from other groups::: strongly disagree	People of my ethnic group are treated the same as people of other groups by doctors and healthcare workers:::disagree	People of my ethnic group are treated the same as people of other groups by doctors and healthcare workers:::neutral	People of my ethnic group are treated the same as people of other groups by doctors and healthcare workers:::agree	People of my ethnic group are treated the same as people of other groups by doctors and healthcare workers::: strongly disagree	Doctors have the best interests of people of my ethnic group in mind:::agree	Doctors have the best interests of people of my ethnic group in mind:::strongly agree	Doctors have the best interests of people of my ethnic group in mind:::neutral	Doctors have the best interests of people of my ethnic group in mind:::disagree	Doctors have the best interests of people of my ethnic group in mind::: strongly disagree	What is your gender identity?:::Man	What is your gender identity?:::Woman	What is your current age?:::text_box	Which of the following best describe your current occupational status? Mark all that apply.:::Homemaker	Which of the following best describe your current occupational status? Mark all that apply.:::Student	Which of the following best describe your current occupational status? Mark all that apply.:::Employed	 What is the highest grade or level of schooling you completed?:::College graduate	 What is the highest grade or level of schooling you completed?:::Postgraduate	 What is the highest grade or level of schooling you completed?:::12 years or completed high school	 What is the highest grade or level of schooling you completed?:::Some college	Are you of Hispanic or Latino origin or descent?:::No, not Hispanic or Latino	Are you of Hispanic or Latino origin or descent?:::Yes, Hispanic or Latino	What race or races do you consider yourself to be?:::Black or African American	What race or races do you consider yourself to be?:::American Indian or Alaska Native	What race or races do you consider yourself to be?:::Asian	What race or races do you consider yourself to be?:::White	What race or races do you consider yourself to be?:::Some other race	Please feel free to leave any comments about our study (optional):::text_box
632339023c3bf456b2b2061d	conv1070_1-snip12	"<span class=""blueText""><b>Patient</b>: Right. So I get twelve and twelve; I’ll take it at twelve and then I’ll take it again at twelve midnight.</span> <span class=""redText""><b>Doctor</b>: Yeah.</span> <span class=""blueText""><b>Patient</b>: When I’m laying down and going to sleep.</span> <span class=""redText""><b>Doctor</b>: Okay.</span> <span class=""blueText""><b>Patient</b>: And this is…</span> <span class=""redText""><b>Doctor</b>: This is the sleeping pill, the Restoril.</span> <span class=""blueText""><b>Patient</b>: Okay.</span> <span class=""redText""><b>Doctor</b>: Okay?</span> <span class=""blueText""><b>Patient</b>: Okay.</span> <span class=""redText""><b>Doctor</b>: Alright and these are your blood tests which you take over. Your calcium is good now so you can get…</span> <span class=""blueText""><b>Patient</b>: My calcium is good and I don’t have to take the big bills?</span> <span class=""redText""><b>Doctor</b>: So it sounds like the big pills, you’re doing what I told you to.</span> <span class=""redText""><b>Doctor</b>: Oh God.</span>"	extremely	slightly	not at all	not at all	slightly	moderately	slightly	slightly	slightly																																																											
632339023c3bf456b2b2061d	conv5064_1-snip14	"<span class=""blueText""><b>Patient</b>: What kind of breathing machine?</span> <span class=""redText""><b>Doctor</b>: Uh.  A ventilator.  On TV.  Those are television.  Your body’s gotten so sick that if I get you to wake up, you still have the bad cancer.</span> <span class=""blueText""><b>Patient</b>: Oh.</span> <span class=""redText""><b>Doctor</b>: Okay?  So, I also, I mean, I’m not so sure we should be pounding on your chest.  Uh, you should be thinking about how far will we go even if it looks bad. (Pause)</span> <span class=""blueText""><b>Patient</b>: No.  See, my dad died from prostate cancer in nineteen eighty six.  He hadn’t -- didn’t have much treatment at all.  Uh.</span> <span class=""greenText""><b>Family Member</b>: He waited, he waited to have severe symptoms.  Then he went and then (they’s found)</span> <span class=""blueText""><b>Patient</b>: So, um, you know, I’m concerned for my son.  My brother.  Uh.  He might have something too.  I mean, if I try somethin’, it will help ‘em.</span> <span class=""redText""><b>Doctor</b>: Yeah.  I mean, so this may not help you, but it may help us learn how to treat other men in the future.  Uh.  So, that is, you know, just you being a good citizen and helping that out and a hero, but that – you have to feel comfortable with that, you know, ‘cuz it could help.  It may not help.  If it does help, it may help others.</span> <span class=""blueText""><b>Patient</b>: Yeah.</span> <span class=""redText""><b>Doctor</b>: Um.  And yet it’s your time.  It’s your coming in here.  Some of it’s your expense.  You know, this drug enzalutamide, I don’t know what you were paying when you were on it before.  Uh.  It’s pretty expensive.  It’s about ten thousand bucks a month.  Um.  And again, you would be taking it, even though we don’t think it’s gonna work ‘cuz -- because we think that it may make the immune therapy work better.  So, we have to have people on it.  Their PSA’s gonna be rising.  Their ARV seven still has to be positive. (Laughs)</span> <span class=""blueText""><b>Patient</b>: Okay.  I didn’t pay much for the Xtandi before.  Uh, some kind of study from manufacturers –</span> <span class=""redText""><b>Doctor</b>: Oh, so you had a study, or they had a, uh, a program that sort of reduced your cost?</span>"	very	moderately	very	moderately	very	can't tell	moderately	very	moderately																																																											
632339023c3bf456b2b2061d	conv1029_3-snip5	"<span class=""blueText""><b>Patient</b>: It paralyzes or something. I don’t like that feeling.</span> <span class=""redText""><b>Doctor</b>: Yeah. No, I don’t want to wait until you get paralyzed either.</span> <span class=""blueText""><b>Patient</b>: It would be in my arms.</span> <span class=""redText""><b>Doctor</b>: Right.</span> <span class=""blueText""><b>Patient</b>: It would be in my arms and my feet, my toes.</span> <span class=""redText""><b>Doctor</b>: Yeah, because, but we don’t want to wait until you know it totally messes up with your…</span> <span class=""redText""><b>Doctor</b>: …walking and stuff.</span> <span class=""blueText""><b>Patient</b>: It’s coming a long…</span> <span class=""redText""><b>Doctor</b>: Yeah, yeah, but the cancer has stayed in check for a really long time with the chemo…</span> <span class=""blueText""><b>Patient</b>: Okay.</span> <span class=""redText""><b>Doctor</b>: …so I think uh so far the chemo has done you good.</span> <span class=""blueText""><b>Patient</b>: Okay.</span> <span class=""redText""><b>Doctor</b>: Yeah. Alright. So today we’ll go ahead and I know you gave G____ the list of medications…</span>"	very	extremely	extremely	extremely	extremely	extremely	very	extremely	extremely																																																											
632339023c3bf456b2b2061d	Doctor-Patient-Conversation-Analysis-post_annotation_question.html	Thank you for your valuable contributions to our study! Our goal is to understand how doctors can communicate better with patients by looking at different perceptions of the doctors’ qualities. Understanding your personal experiences with the medical system will help us to contextualize your responses. We invite you to share insights by answering the following questions. Your answers to these questions are strictly confidential and anonymous.													About how long has it been since you last saw a doctor or other health professional about your health?:::Within the past year (anytime less than 12 months ago)						During the past 12 months, not counting times you went to an emergency room, how many times did you go to a doctor, nurse, or other health professional to get care for yourself?:::1 time			Sometimes doctors care more about what is convenient for them than about their patients' medical needs.:::neutral					Doctors are extremely thorough and careful.:::agree	You completely trust doctors' decisions about which medical treatments are best.:::strongly agree						A doctor would never mislead you about anything.:::agree		All in all, you trust doctors completely.:::neutral		People of my ethnic group receive the same medical care from doctors and healthcare workers as people from other groups:::disagree				People of my ethnic group are treated the same as people of other groups by doctors and healthcare workers:::disagree							Doctors have the best interests of people of my ethnic group in mind:::disagree		What is your gender identity?:::Man		45			Which of the following best describe your current occupational status? Mark all that apply.:::Employed			 What is the highest grade or level of schooling you completed?:::12 years or completed high school			Are you of Hispanic or Latino origin or descent?:::Yes, Hispanic or Latino				What race or races do you consider yourself to be?:::White		
632339023c3bf456b2b2061d	conv5040_1-snip18	"<span class=""blueText""><b>Patient</b>: Yeah.</span> <span class=""redText""><b>Doctor</b>: It’s that simple. I mean when you look across all the thousands of guys with prostate cancer and all the different things out there, the bottom line is don’t get fat.</span> <span class=""blueText""><b>Patient</b>: Right, okay.</span> <span class=""redText""><b>Doctor</b>: And how will you do that? It doesn’t matter. It’s the fact that you don’t.</span> <span class=""blueText""><b>Patient</b>: Right.</span> <span class=""greenText""><b>Family Member</b>: And now I have a question, and you can tell me if you know how to answer this but you know you’re saying here you’re giving us all our options. Is your heart in one place and the other with standard of care two versus the chemo and super hormone for somebody like him?</span> <span class=""redText""><b>Doctor</b>: Sure. I’m a too.</span> <span class=""greenText""><b>Family Member</b>: Okay.</span> <span class=""redText""><b>Doctor</b>: So I’m an ah aggressive guy.</span> <span class=""greenText""><b>Family Member</b>: Um hum.</span> <span class=""redText""><b>Doctor</b>: Um you’re a young guy. You don’t want to look back. Or if it was me,</span> <span class=""greenText""><b>Family Member</b>: Um hum.</span>"	moderately	not at all	not at all	not at all	slightly	not at all	moderately	slightly	not at all																																																											
632339023c3bf456b2b2061d	conv1029_1-snip12	"<span class=""blueText""><b>Patient</b>: Okay. Okay.</span> <span class=""redText""><b>Doctor</b>: So, let me see if you want. Do you want to do it today?</span> <span class=""blueText""><b>Patient</b>: I mean</span> <span class=""redText""><b>Doctor</b>: You can go over and do it.</span> <span class=""blueText""><b>Patient</b>: What?</span> <span class=""redText""><b>Doctor</b>: To the treatment area.</span> <span class=""blueText""><b>Patient</b>: Okay.</span> <span class=""redText""><b>Doctor</b>: You have an appointment there anyway.</span> <span class=""blueText""><b>Patient</b>: Okay.</span> <span class=""redText""><b>Doctor</b>: Okay?</span>"	slightly	slightly	not at all	not at all	not at all	slightly	not at all	not at all	slightly																																																											
632339023c3bf456b2b2061d	conv5032_2-snip9	"<span class=""blueText""><b>Patient</b>: Um, hum.</span> <span class=""redText""><b>Doctor</b>: So stopping with the clinical trial therapy and preceding with non-hormonal therapy. time to try something else.</span> <span class=""blueText""><b>Patient</b>: And that would be the …</span> <span class=""redText""><b>Doctor</b>: That would be the example.</span> <span class=""blueText""><b>Patient</b>: Okay. Can you tell me my Gleason score?</span> <span class=""redText""><b>Doctor</b>: Your Gleason score was a seven out of ten and that was based on your in two thousand and seven.</span> <span class=""blueText""><b>Patient</b>: Um, hum.</span> <span class=""redText""><b>Doctor</b>: If patients are a Gleason score of eight or more, high risk of progression.</span> <span class=""blueText""><b>Patient</b>: Um, hum.</span> <span class=""redText""><b>Doctor</b>: If it’s a Gleason score of seven I would consider that and intermediate risk and a Gleason score of seven</span> <span class=""blueText""><b>Patient</b>: Um, hum.</span> <span class=""redText""><b>Doctor</b>: Two ways of having a Gleason score of seven. Three plus four is seven or equals seven. Those two um numbers are different depending Gleason if</span>"	not at all	moderately	not at all	moderately	very	moderately	very	slightly	moderately																																																											
632339023c3bf456b2b2061d	conv1084_1-snip6	"<span class=""greenText""><b>Family Member</b>: Yeah. Yeah. They were dealing with somebody that was off, a robber or something.</span> <span class=""blueText""><b>Patient</b>: Okay. Well that didn’t affect our drive.</span> <span class=""redText""><b>Doctor</b>: No. But I’m sure with the game. Never, never rush. Don’t stress. You know?  It’s not great for your sugar and then you’re on the XTANDI.</span> <span class=""greenText""><b>Family Member</b>: You were only fifteen minutes late so it’s fine.</span> <span class=""blueText""><b>Patient</b>: Yeah. And the other issue was this (laugh)</span> <span class=""blueText""><b>Patient</b>: We weren’t aware what we were doing.</span> <span class=""greenText""><b>Family Member</b>: Yeah you were. We had an appointment with this guy Come in at eleven thirty. Right.</span> <span class=""redText""><b>Doctor</b>: It’s all your fault his sugar is low, not back and forth. (Laughs)</span> <span class=""blueText""><b>Patient</b>: No. He said no (Laughter)</span> <span class=""redText""><b>Doctor</b>: You feeling better?</span> <span class=""blueText""><b>Patient</b>: Um hum.</span> <span class=""redText""><b>Doctor</b>: Okay.</span>"	moderately	moderately	very	slightly	slightly	moderately	moderately	slightly	slightly																																																											
632339023c3bf456b2b2061d	conv1084_1-snip1	"<span class=""blueText""><b>Patient</b>: I was just checking.</span> <span class=""redText""><b>Doctor</b>: What is it?</span> <span class=""blueText""><b>Patient</b>: I was just checking.</span> <span class=""greenText""><b>Family Member</b>: Do you have any-</span> <span class=""redText""><b>Doctor</b>: That is like, I’m going to shoot you. I’ll be right back. Okay boss.</span> <span class=""blueText""><b>Patient</b>: I was just checking.</span> <span class=""redText""><b>Doctor</b>: You had to scare me like that. I have no idea.</span> <span class=""greenText""><b>Family Member</b>: I just gave him some M and M’s. Good thing I brought them in. Not M and M’s but Good and Plenty.</span> <span class=""redText""><b>Doctor</b>: Why you running so low?</span> <span class=""greenText""><b>Family Member</b>: He ate breakfast but he didn’t eat it all at the restaurant.</span> <span class=""blueText""><b>Patient</b>: I was just checking.</span> <span class=""greenText""><b>Family Member</b>: He had an omelet and toast and .</span>"	not at all	not at all	not at all	not at all	not at all	not at all	moderately	not at all	not at all																																																											
